State of legal residence (student) 2003-04,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,Overseas territories and military,Foreign countries
  6 < X < 10,1.1599,0,2.75,0.0549,13.8582,0.6704,0.8536,0.2888,0.1065,8.3856,2.9305,0.0216,0.6721,6.34,1.7333,0.0114,2.2254,1.7754,0.7022,0,1.4845,0.9259,2.4823,1.197,1.1324,1.4847,0.0776,0.4717,0.4623,0,2.9027,1.0611,5.2372,0.7569,0.2363,3.1211,1.6594,0.7988,4.9942,0.4405,0.2951,0,4.5007,9.2943,0.8475,0,0.3933,2.8962,0.6109,2.2264,0,1.5976,0,1.8713
  11 < X < 20,0.9209,0.0689,1.5215,0.0977,12.7076,0.5716,0.6808,0.2629,0.0695,8.9423,3.2703,0.2844,0.4541,4.0007,1.9034,0.3148,1.5047,0.7466,0.7165,0.003,1.4048,1.4528,2.5304,1.6595,1.3946,1.219,0.0636,0.2443,0.2619,0.1764,3.1261,1.1462,5.2198,0.7697,0.0924,4.8902,1.9908,1.5575,5.3348,0.4384,0.9216,0.0753,2.5089,8.6371,1.7276,0,1.6995,2.8496,1.9629,3.2838,0,1.2177,0.0188,1.0819
  21 < X < 50,1.4681,0.1601,1.78,0.1974,10.7154,0.8524,1.0097,0.1235,0.182,6.0749,3.3617,0.3835,0.4115,3.9402,3.087,1.0559,1.7034,1.7856,0.6991,0.1055,1.5938,2.5739,3.2255,1.4114,2.2594,2.5575,0.5445,0.2889,0.0582,0.113,3.2064,0.4109,5.394,1.4163,0.1339,3.9347,1.533,0.9172,5.5923,0.5035,0.6956,0.1002,3.4811,8.0209,1.178,0.0298,1.6085,1.5718,1.2193,3.1591,0.0724,1.5992,0,0.4987
  51 < X < 100,1.8118,0,0.2906,0.408,9.0887,1.2282,1.3361,0.3843,0,2.9333,3.259,0.1372,0.8379,3.7725,3.819,2.3949,1.5774,1.8159,1.3649,0.2709,2.6312,3.0112,1.9446,2.2717,2.0751,1.5313,0.628,0.8573,0.1043,0.4924,2.5564,0.2766,4.9113,4.0974,0.3476,3.7077,2.8781,0.6482,3.5308,0.4938,1.5999,0.3133,1.9496,6.9674,0.6985,0.0963,4.2292,1.6114,0.341,4.4444,0.2602,1.5259,0,0.2374
  101 < X < 200,1.6752,0.1896,0.9744,0.6354,4.0717,0.8596,1.4589,0.2531,0.098,2.7464,2.2856,0,0.2884,8.1663,4.3286,1.6401,2.0703,1.5054,1.054,0.8145,1.311,2.003,2.7586,2.6066,1.3016,2.87,1.4659,1.1577,0,0.6279,2.0571,0.0646,5.8181,6.4446,0.4509,5.1777,1.9395,0.9207,4.071,0.3147,1.4647,0.5321,1.1955,6.0359,0.1236,0.2064,4.6443,0.8211,0.3387,5.47,0,0.161,0,0.5299
  201 < X < 300,2.036,0.7346,0.6716,0.6481,2.9492,0,1.05,0.0077,0.4293,6.6242,5.9774,0.23,2.0716,4.5067,1.7441,1.7806,1.2352,1.1583,2.813,0.6002,1.7044,1.7942,1.5882,3.4195,0.615,0.5058,0.7797,1.4887,0.662,0.8527,3.1928,0.5401,6.4987,5.9394,1.3272,3.3919,0.563,2.2426,2.2439,0.6358,0.3617,0.3222,1.4263,9.0731,0.487,1.0692,3.436,2.6979,0,3.4855,0.1761,0.212,0,0
  301 < X < 400,0,0,0,0.6232,11.8999,1.1437,1.5457,1.1334,0.3732,7.9658,1.9375,0,2.9279,6.9641,1.1778,0.9622,3.7641,1.2493,0,0.3819,1.7339,2.246,0,2.9291,0.4102,0.8606,0.7846,0.5846,0.474,0.2807,2.3178,1.9568,3.7361,3.1501,1.0173,0.8442,0.7792,1.0791,3.0478,5.8603,0.8595,0.2543,2.4466,6.6426,1.0217,0.3936,1.5492,3.1399,0,2.8512,1.4089,0,0,1.2907
  401 < X < 500,2.3599,0,0,0,12.0029,0.9344,6.1928,2.0383,0,2.629,2.1045,0,1.432,3.2065,0.7249,1.0491,0,0,3.3039,0.7956,1.2991,0,1.9716,3.0233,0,7.4276,0,1.6318,0.5314,0,1.916,0.9088,11.1905,1.1352,3.8386,3.6583,0,0,3.4423,0,0,0,2.4362,5.067,0,0,9.3272,0,0,0.6709,0,0,0,1.7505
  501 < X < 600,0,0,0,0,5.4836,0.4297,2.3961,0,3.4629,0.1775,7.8786,0,0,0.6647,0,2.7924,2.3433,0,2.7078,0,3.1523,0,1.7005,0,0,0,4.3056,0,0,0,6.3132,0,0,5.6863,0,4.3248,0,0,1.3376,0,0,2.4754,1.7161,22.7012,0,0,0,4.1192,6.8355,4.0571,2.9386,0,0,0
  601 < X < 700,0,0,0,0,4.4654,0,6.5669,0,0,7.8662,5.9959,0,1.2743,3.1884,3.5018,0,13.2047,0,0,0,3.8938,0,0,1.7394,2.4348,0,0,0,0,0,0,1.9366,2.912,0,0,0,0,0,9.4406,0,2.9867,1.3941,1.9156,9.2073,0,3.8172,6.4619,0.4571,0,2.1761,0,0,0,3.1632
  701 < X < 800,0,0,0,0,5.2958,1.8889,0,0,0,14.0926,0,0,0,6.9656,0.9054,0,3.7029,0,0,0,7.9885,4.3983,9.0144,2.5189,0,0,1.7364,1.3042,0,0,0,0,6.9409,2.0423,0,6.0049,0,0,4.754,4.4101,0,0,0,0,0,0,4.9786,1.2691,0,9.7882,0,0,0,0
  801 < X < 900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  901 < X < 1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  1001 < X < 2000,0.2805,0.3308,1.3167,0,5.2322,3.7312,1.0112,0.127,0.3733,6.0971,0.986,0.6569,0,5.2231,1.399,2.6609,0.8904,0.9004,0.8599,0.3519,4.6003,2.2884,3.7199,4.1426,0,1.4755,1.2065,0.7706,0.993,0.48,2.0032,3.1929,5.4605,0.9643,0.0907,0.9637,1.584,1.2748,4.1502,0,0,0.1086,1.9697,11.5329,0.504,0.9377,1.6042,2.7783,0,3.3059,0.6484,1.2309,0.3556,3.2343
  X > 2001,0,3.7108,1.1378,0.9192,18.4521,0.6299,1.1774,0.0167,0,3.4889,0,3.7243,2.6728,0.9846,0.2135,0.2422,0,0.6051,0,0.3214,0.9398,2.7649,1.4096,1.6273,0,0.48,0.0083,0,1.5755,0.2375,3.5054,0.3517,1.6586,1.1438,0.5166,1.8009,0.3919,1.0906,0.4047,0,0.7076,0.1499,0.7695,3.9564,0.822,0,3.0439,4.0059,0,1.1247,0,1.208,0.4,25.6084
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Error (BRR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,0.5425,0.0824,0.8683,0.0664,0.7911,0.2806,0.0763,0.0327,0.0575,1.2769,0.1744,0.1653,0.3046,0.3489,0.2119,0.47,0.675,0.4837,0.2424,0.0258,0.3769,0.4715,0.5874,0.1077,0.5783,0.7326,0.2684,0.0473,0.1228,0.0514,0.5297,0.3669,0.3141,0.4117,0.0698,0.8465,0.5792,0.1426,1.7309,0.2977,0.3198,0.0252,0.5438,0.4452,0.4892,0.028,0.4012,0.5955,0.5224,0.9484,0.1311,0.2139,0.0299,0.1372
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution state 2003-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Alabama,4.2415,0,0,0.4553,0.428,0,0,0,0,2.6112,1.357,0,0,0,0.7254,0,0,0,0,0,0,0.6456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4724,0,0,0,0,0.8081,0,0,0,0,0,0,0,0,0,0,0,0,1.7202
  Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Arizona,0.1215,0,7.5518,0,3.3633,0,0,0,0,0,0,0.3906,0.2735,0.5528,0.5161,0,0.4165,0,0,0,0.2668,0.3352,0.5204,0.1841,0,0,0,0.2602,0.4408,0,0,2.0366,0,0,0,0.2768,0.0374,0,0.1239,0,0,0.0855,0,0.8993,0.3097,0,0,0.9691,0.5536,0.0828,0,0,0,0.1832
  Arkansas,0,0,0.4448,9.9369,0,0,0,0.4873,0,0,0,0,0,0.9253,0,0,0,0,1.2205,0,0,0,0,0,0,2.328,0,0,0,0,0,0,0,0,0,0,1.4771,0,0,0,0,0,0,6.225,0,0,0,0,0,0,0,0,0,0
  California,0.0897,0.0444,0.0375,0,0.6835,0.1118,0,0,0,0.1224,0,0.0791,0.0651,0.0748,0,0.0284,0.0218,0,0,0.0314,0,0.006,0.0315,0.0324,0,0.0668,0,0,0.0321,0.0273,0.0331,0.0415,0.0461,0,0.0341,0.0492,0.0643,0.1602,0.0169,0,0,0,0.0385,0.0846,0.0212,0,0.0196,0.2378,0,0,0,0,0.1246,0.4523
  Colorado,0,0,0.3866,0,1.5112,6.4797,0,0,0,0.9853,0,0,0,1.537,0,0,0.4297,0,0,0,0,0.9816,0.8655,0.7934,0,1.7476,1.1557,0.9256,0,0.9927,0,1.05,0.9256,0.9403,0,0,0.7699,0.0964,0,0,0,0.1144,0,0.7385,0.0522,0,0.8664,0,0,1.6424,0,0,0,0
  Connecticut,0,0.371,0,0,0.6335,0,1.9943,0,0,0.813,0.0406,0,0,0.4215,0.4218,0,0,0,0,0.0743,0,1.4985,0,0,0,0,0,0,0.4113,0.6775,0.95,0.422,1.5921,0,0,0.3759,0,0,0.7765,0.0996,0,0,0,0.6221,0,0.396,0,0,0,0,0,0.2317,0,0.7469
  Delaware,0,0,0,0,0,0,3.5779,5.9561,0,0.0203,0.1437,0,0,0,0,0,0,0,0,0,10.7765,0,0,0,0,0,0,0,0,0,6.3552,0,2.1245,0,0,0,0,0,3.4818,0,0,0,0,0,0,0,0.1437,0,0,0,0,0,0,2.3154
  District of Columbia,0,0,0,0,1.4188,0,1.4961,0,9.1872,1.4151,0,1.111,0,2.9724,0,0,2.1157,0,0,0,5.6532,2.3585,1.4862,0,0,0,0,0,0,0,3.5387,0,4.2375,2.0576,0,0,0,0,2.0576,0,0,0,0,1.4151,0,0,1.7075,0,0,0,0,0,0,2.6531
  Florida,0.1229,0,0.0718,0.1379,0.128,0.0122,0.159,0,0,2.9825,0.6472,0,0.1592,0.0951,0.1279,0.0673,0,0,0,0,0.5338,0.1841,0.5259,0,0.0997,0.0901,0,0,0,0.2779,0.1472,0.018,0.1832,0.1448,0.1449,0.2582,0,0.0513,0.3611,0,0.0734,0,0.0524,0.4051,0,0.0984,0.9474,0.2362,0.0758,0.1421,0,0.0428,0.1135,0.4132
  Georgia,0.4328,0.243,0,0,0.0333,0,0,0.189,0,0.5278,1.2083,0,0,0.2503,0.1338,0,0,0.1287,0,0.0372,0.1858,0.3454,0.1744,0.1609,0.0467,0,0,0,0,0,0.0334,0,0.298,0.3515,0,0.2474,0,0,0,0,0.0591,0,0.373,0.2048,0,0,0.1779,0,0,0.2312,0,0,0.0644,0.625
  Hawaii,0,0,7.592,0,6.3534,0,0,0,0,0,0,11.7719,0,0,0,0,0,0,0,0,0,0,0,1.9384,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4129,0,0,0,0,0,0,0,0,0,4.0421,0,0,0,0,0.5973,0
  Idaho,0,0,0.9911,0.1785,3.5039,0,0,0,0,0,0,0,9.8573,0,0,0,0,1.0569,0,0,0,0,1.0533,0,0,0,0,0,3.2511,0,0,0.8516,0,0.3376,0,0,0,1.3681,0,0,0,0,0,0.8286,1.729,0,0.344,2.268,0,0.5485,0,0,0,2.898
  Illinois,0,0.0573,0,0,0.1141,0.1025,0,0,0,0.3098,0.0571,0,0,1.6271,0.433,0.4416,0,0.1433,0,0,0.0708,0.0838,0.2639,0.135,0.0891,0.5543,0,0,0,0,0.2758,0.037,0.1212,0,0,0.1397,0,0.1362,0.0908,0,0,0,0.2102,0.3009,0,0,0.0778,0,0,0.4584,0,0,0,0.301
  Indiana,0.5181,0,0.3046,0,0.3944,0.1331,0,0,0.2349,0.3586,0.1089,0,0,0.9996,1.9444,0.2009,0.1372,0.3794,0.1107,0,0.3572,0,0.4401,0.4145,0,0.1487,0,0.2785,0,0,0,0,0.3488,0,0,1.022,0,0.1063,0.2171,0,0,0.1199,0.2806,0.3401,0,0,0.3541,0.1119,0,0.4779,0,0,0,0.3024
  Iowa,0,0,0.4822,0,0,0,0,0,0,0.3362,0,0,0,7.852,0.1178,8.2982,1.0374,0,0,0,0,0,0.1732,2.0001,0,1.4306,0,0.4742,0,0,0,0,0,0,0,0.6828,0,0,1.105,0,0,0,0,0,0,0,0,0,0,0.8147,0,0,0,1.0825
  Kansas,0,0,0.4819,0.3331,0.4415,0.3341,0,0,0,0,0,0,0,0.6356,0,0.5592,4.6354,0,0,0,0,0,0,0,0,0.6176,0,0,0,0,0,0,0,0.1379,0,0,1.4159,0,0,0,0,0,0,1.0319,0,0,0.2737,0,0,0,0.1615,0,0,1.8106
  Kentucky,0.3019,0,0,0,0,0,0,0,0,0.3656,0,0,0,0.3635,0.1954,0,0,3.1576,0,0,0.4933,0,0,0,0,0.4041,0,0,0,0,0,0,0,0,0,1.8683,0,0,0.1412,0,0,0,0.6574,0,0,0,0.4071,0,0,0,0,0,0,0.5963
  Louisiana,1.3447,0,0,0,0,0.8393,0,0,0,1.7463,0.8797,0,0,0.519,0.8105,0,0,0,7.9292,0.7855,0,0,0,0,0,0,0.7431,0,0,0,0.4939,0.7416,0.4413,0,0,0.8725,0.1759,0,0.3903,0,0,0,0.7059,3.9555,0,0,0.7095,0,0,0.8105,0,0,0,0
  Maine,0,0,0,0,2.5347,1.2863,4.6788,0,0,1.2863,0,0,0,1.2894,0,0,0,0,0,34.9948,0,9.8373,0,0,0,1.2863,0,0,0,2.5726,0,0,3.5789,0,0,0,0,0,2.4214,0,0,0,1.496,0,0,0,1.2894,1.1893,0,0,0,0,0,2.4973
  Maryland,0,0,0,0,0.3817,0,0,0.4971,0.6907,0.211,0,0,0,0,0,0,0.5316,0,0,0,3.6848,0.6585,0,0.5218,0,0.6186,0,0,0,0,0.9201,0,0.9306,0.4935,0,0.9922,0,0,1.9348,0,0.3282,0,0,0,0,0,0.9804,0,0,0,0,0,0,1.6823
  Massachusetts,0,0.182,0,0,0.4408,0.2806,1.3359,0,0.2221,0.261,0,0.1653,0.2405,0.287,0.1815,0.0538,0.1293,0,0,0.5219,0.2024,4.948,0.3894,0.2819,0,0,0,0,0,0.92,0.7253,0,1.5652,0.1319,0,0.0538,0,0,0.2772,0.4344,0,0,0.1388,0.2685,0.0569,0.2366,0.165,0.2719,0,0,0,0.0538,0,1.4721
  Michigan,0,0,0,0,0.1264,0,0,0,0,0.083,0,0,0,0.2391,0.2461,0,0,0,0,0,0,0.2007,1.1948,0,0.1511,0,0,0,0,0,0,0,0.1151,0,0,0.7252,0,0.1264,0,0,0,0,0,0,0,0,0,0.4765,0,0,0,0,0,0.7638
  Minnesota,0,0,0,0,0,0,0,0,0.2292,0.1008,0,0,0,1.8657,0,0.3573,1.656,0,0,0,0,0,0.1577,4.0572,0,0,0.2032,0,0.2764,0,0,0,0.1716,0,1.5766,0,0,0,0.2376,0,0,0.495,0.1812,0,0.097,0,0,0,0,3.8287,0,0,0,0.3349
  Mississippi,1.4192,0,0,0,0,0,0,0,0,0.3728,0,0,0,1.0313,0,0,0,0,4.1465,0,0,0,0,0,8.7145,0.6969,0,0,0,0,0,0,0,1.182,0,0,0,0,0,0,1.3939,0,2.4878,0,0,0,0,0,0,0,0,0,0,0.7178
  Missouri,0,0,0,0,0.3259,1.1374,0.3642,0,0,0,0.4237,0,0,2.1182,0.7593,0.5664,3.5421,0,0,0,0.3396,0,0.3731,0.3756,0.4351,7.9139,0,0.2303,0,0,0,0,0.1763,0,0,0.2387,0.8025,0,0,0,0,0,0.8303,0.491,0.2023,0,0.7693,0,0,0.6741,0,0,0,0.3612
  Montana,0,0,0,0,0,0,0,0,0,0,0,0,5.0195,2.4715,0,0,0,0,0,0,0,0,0,3.589,0,0,5.3588,0,1.3966,0,0,0,0,0,4.0549,0,0,0,0,0,0,0.6396,0,0,1.9263,0,0,1.4332,0,0,1.7095,0,0,0
  Nebraska,0,0,0,0.1651,0,0.7354,0,0,0,0,0,0,0,0.7903,0,0.8155,0.6337,0,0,0,0,0,0.2683,1.3889,0,0,0,2.4841,0,0,0,0,0.1504,0,0,0,1.0484,0,0,0,0,0.2735,0,0,0,0,0.1237,0,0,0,0,0,0,2.291
  Nevada,0,2.7854,0,0,9.6409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2743,0.8253,0,0,0,0,0,0,0,0,1.3911
  New Hampshire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  New Jersey,0,0,0,0,0,0,0.1872,0,0,0,0.3835,0,0,0,0,0,0,0,0,0,0.1007,0,0.201,0,0,0.2598,0,0,0,0,1.1837,0.225,0.6056,0,0,0,0,0,0.5894,0,0.1872,0,0,0,0,0,0.0991,0,0,0,0,0,0,0.4886
  New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9325,0.352,0,0,0,0,0,0,0,0,0,0,9.0283,0,0,0,0.4709,0,0,0,0,0,0
  New York,0,0.0942,0,0,0.1433,0.0852,0.2321,0,0,0.3218,0,0,0.0778,0.2088,0.0205,0,0,0,0.0585,0.0738,0.3243,0.3254,0.1391,0.1224,0,0.0541,0,0.0455,0,0.1776,0.4674,0,1.7303,0.0833,0,0.1704,0.0485,0,0.3157,0.0502,0,0,0.0091,0.1323,0,0.1449,0.1783,0.0554,0.2423,0,0,0,0.2058,0.5094
  North Carolina,0.3047,0,0,0,0.4487,0.2714,0,0.2035,0,0.4127,0.84,0,0,0.2004,0,0,0.2856,0,0,0.2755,0.3186,0,0,0,0,0.05,0,0,0,0.2286,0.5143,0,0.2355,2.7826,0,0.3369,0,0,0.2704,0,0.5022,0,0.6296,0.5221,0,0,0.8598,0,0,0,0,0,0.2696,0.6808
  North Dakota,0,1.7594,1.1222,0,1.8729,0.8424,0,0,0,0,0,0,0,0,0,0,0,0,0.9436,0,0,0,0,9.3186,0,0,1.8088,0,0,0,0,0,0,0,3.5408,0,0,0,0,0,0,2.3355,0,0,0,0,0,3.2671,0,3.2431,1.6461,0,0,0.8602
